,filepath,writer,label
0,full_forg\forgeries_10_1.png,10_1,1
1,full_forg\forgeries_10_10.png,10_10,1
2,full_forg\forgeries_10_11.png,10_11,1
3,full_forg\forgeries_10_12.png,10_12,1
4,full_forg\forgeries_10_13.png,10_13,1
5,full_forg\forgeries_10_14.png,10_14,1
6,full_forg\forgeries_10_15.png,10_15,1
7,full_forg\forgeries_10_16.png,10_16,1
8,full_forg\forgeries_10_17.png,10_17,1
9,full_forg\forgeries_10_18.png,10_18,1
10,full_forg\forgeries_10_19.png,10_19,1
11,full_forg\forgeries_10_2.png,10_2,1
12,full_forg\forgeries_10_20.png,10_20,1
13,full_forg\forgeries_10_21.png,10_21,1
14,full_forg\forgeries_10_22.png,10_22,1
15,full_forg\forgeries_10_23.png,10_23,1
16,full_forg\forgeries_10_24.png,10_24,1
17,full_forg\forgeries_10_3.png,10_3,1
18,full_forg\forgeries_10_4.png,10_4,1
19,full_forg\forgeries_10_5.png,10_5,1
20,full_forg\forgeries_10_6.png,10_6,1
21,full_forg\forgeries_10_7.png,10_7,1
22,full_forg\forgeries_10_8.png,10_8,1
23,full_forg\forgeries_10_9.png,10_9,1
24,full_forg\forgeries_11_1.png,11_1,1
25,full_forg\forgeries_11_10.png,11_10,1
26,full_forg\forgeries_11_11.png,11_11,1
27,full_forg\forgeries_11_12.png,11_12,1
28,full_forg\forgeries_11_13.png,11_13,1
29,full_forg\forgeries_11_14.png,11_14,1
30,full_forg\forgeries_11_15.png,11_15,1
31,full_forg\forgeries_11_16.png,11_16,1
32,full_forg\forgeries_11_17.png,11_17,1
33,full_forg\forgeries_11_18.png,11_18,1
34,full_forg\forgeries_11_19.png,11_19,1
35,full_forg\forgeries_11_2.png,11_2,1
36,full_forg\forgeries_11_20.png,11_20,1
37,full_forg\forgeries_11_21.png,11_21,1
38,full_forg\forgeries_11_22.png,11_22,1
39,full_forg\forgeries_11_23.png,11_23,1
40,full_forg\forgeries_11_24.png,11_24,1
41,full_forg\forgeries_11_3.png,11_3,1
42,full_forg\forgeries_11_4.png,11_4,1
43,full_forg\forgeries_11_5.png,11_5,1
44,full_forg\forgeries_11_6.png,11_6,1
